id,title,author,avg_rating,ratings,url,img,pages,year
1086,Legacy of Ashes: The History of the CIA,Tim Weiner,3.88,"6,879",/book/show/970488.Legacy_of_Ashes,https://d2arxad8u2l0g7.cloudfront.net/books/1320525571l/970488.jpg,702,2007
1087,The Life of Andrew Jackson,Marquis James,3.82,22,/book/show/7503630-the-life-of-andrew-jackson,https://d2arxad8u2l0g7.cloudfront.net/books/1397841695l/7503630.jpg,972,1937
1088,The Radicalism of the American Revolution,Gordon S. Wood,4.03,"3,418",/book/show/6956.The_Radicalism_of_the_American_Revolution,https://d2arxad8u2l0g7.cloudfront.net/books/1403185941l/6956.jpg,447,1992
1089,Oscar Wilde,Richard Ellmann,4.23,"2,517",/book/show/5294.Oscar_Wilde,https://d2arxad8u2l0g7.cloudfront.net/books/1403166460l/5294.jpg,736,1988
1090,Why Survive?: Being Old in America,Robert N. Butler,3.33,9,/book/show/780766.Why_Survive_,https://d2arxad8u2l0g7.cloudfront.net/books/1348134982l/780766.jpg,512,1975
1091,Lindbergh,A. Scott Berg,4.10,"2,453",/book/show/272507.Lindbergh,https://d2arxad8u2l0g7.cloudfront.net/books/1386920577l/272507.jpg,640,1989
1092,God: A Biography,Jack Miles,3.92,"1,823",/book/show/176755.God,https://d2arxad8u2l0g7.cloudfront.net/books/1320419507l/176755.jpg,464,1995
1093,"Stilwell and the American Experience in China, 1911-45",Barbara W. Tuchman,4.08,"2,022",/book/show/234633.Stilwell_and_the_American_Experience_in_China_1911_45,https://d2arxad8u2l0g7.cloudfront.net/books/1388705286l/234633.jpg,624,1971
1094,The Wisdom of Crowds,James Surowiecki,3.78,"17,471",/book/show/68143.The_Wisdom_of_Crowds,https://d2arxad8u2l0g7.cloudfront.net/books/1388211043l/68143.jpg,306,2004
1095,The American Revolution: A Constitutional Interpretation,Charles Howard McIlwain,it was amazing 5.00,2,/book/show/6681041-the-american-revolution,,220,1924
1096,"The Moral Arc: How Science and Reason Lead Humanity toward Truth, Justice, and Freedom",Michael Shermer,3.99,495,/book/show/22320454-the-moral-arc,https://d2arxad8u2l0g7.cloudfront.net/books/1403425138l/22320454.jpg,541,2004
1097,Roosevelt and Hopkins: An Intimate History,Robert E. Sherwood,4.42,43,/book/show/2654162-roosevelt-and-hopkins,https://d2arxad8u2l0g7.cloudfront.net/books/1354903516l/2654162.jpg,880,1949
1098,Benjamin Franklin,Carl Van Doren,4.15,172,/book/show/1558473.Benjamin_Franklin,https://d2arxad8u2l0g7.cloudfront.net/books/1388760248l/1558473.jpg,864,1938
1099,"The Organization and Administration of the Union Army,1861-1865, Volume II",Fred Albert Shannon,it was amazing 5.00,,/book/show/4222465-the-organization-and-administration-of-the-union-army-1861-1865-volume,,352,1928
1100,Woodrow Wilson: Life and Letters,Ray Stannard Baker,4.33,3,/book/show/2595766-woodrow-wilson,,0,1939
1101,John Paul Jones: A Sailor's Biography,Samuel Eliot Morison,4.06,142,/book/show/2016691.John_Paul_Jones,https://d2arxad8u2l0g7.cloudfront.net/books/1348111441l/2016691.jpg,534,1959
1102,In the Days of McKinley,Margaret Leech,3.64,45,/book/show/407173.In_the_Days_of_McKinley,https://d2arxad8u2l0g7.cloudfront.net/books/1354758644l/407173.jpg,686,1960
1103,"Transformation of Virginia, 1740-1790",Rhys Isaac,liked it 3.00,3,/book/show/19826539-transformation-of-virginia-1740-1790,https://d2arxad8u2l0g7.cloudfront.net/books/1387763389l/19826539.jpg,462,1983
1104,The Fiery Trial: Abraham Lincoln and American Slavery,Eric Foner,4.10,"3,435",/book/show/8753495-the-fiery-trial,https://d2arxad8u2l0g7.cloudfront.net/books/1348470645l/8753495.jpg,448,2010
1105,"Andrew Jackson: The Course of American Democracy, 1833-1845",Robert V. Remini,4.26,61,/book/show/599359.Andrew_Jackson,https://d2arxad8u2l0g7.cloudfront.net/books/1348975495l/599359.jpg,672,1984
1106,The Swerve: How the World Became Modern,Stephen Greenblatt,3.83,"18,926",/book/show/13707734-the-swerve,https://d2arxad8u2l0g7.cloudfront.net/books/1346836299l/13707734.jpg,356,2011
1107,Carry Me Home,Catherine Lucas,0.00,0,/book/show/3293526-carry-me-home,https://d2arxad8u2l0g7.cloudfront.net/books/1394324985l/3293526.jpg,256,2001
1108,Young Men and Fire,Norman Maclean,4.06,"3,412",/book/show/30044.Young_Men_and_Fire,https://d2arxad8u2l0g7.cloudfront.net/books/1386924740l/30044.jpg,316,1993
1109,"The Launching Of Modern American Science, 1846 1876",Robert V. Bruce,3.73,11,/book/show/1729525.The_Launching_Of_Modern_American_Science_1846_1876,https://d2arxad8u2l0g7.cloudfront.net/books/1187496130l/1729525.jpg,,1987
1110,"The Americans, Vol. 3: The Democratic Experience",Daniel J. Boorstin,4.05,495,/book/show/976112.The_Americans_Vol_3,https://d2arxad8u2l0g7.cloudfront.net/books/1403179627l/976112.jpg,717,1973
1111,"Freedom from Fear: The American People in Depression and War, 1929-1945",David M. Kennedy,4.13,"3,615",/book/show/106317.Freedom_from_Fear,https://d2arxad8u2l0g7.cloudfront.net/books/1366907871l/106317.jpg,936,1999
1112,"Raven (Raven, #1)",Kimberly Brockman,4.16,63,/book/show/17305412-raven,https://d2arxad8u2l0g7.cloudfront.net/books/1359610539l/17305412.jpg,236,1930
1113,The People's Choice: From Washington to Harding : A Study in Democracy,Herbert Agar,0.00,0,/book/show/3115867-the-people-s-choice,,337,1933
1114,Embracing Defeat: Japan in the Wake of World War II,John W. Dower,4.09,"2,381",/book/show/273197.Embracing_Defeat,https://d2arxad8u2l0g7.cloudfront.net/books/1388205271l/273197.jpg,676,1999
1115,The Content of Our Character: A New Vision of Race in America by Shelby Steele | Summary & Study Guide,BookRags,really liked it 4.00,,/book/show/20661423-the-content-of-our-character,https://d2arxad8u2l0g7.cloudfront.net/books/1391182178l/20661423.jpg,29,1989
1116,The Disruption of American Democracy,Roy Franklin Nichols,it was amazing 5.00,,/book/show/1551829.The_Disruption_of_American_Democracy,,,1948
1117,Malcolm X: A Life of Reinvention,Manning Marable,4.19,"9,797",/book/show/7940589-malcolm-x,https://d2arxad8u2l0g7.cloudfront.net/books/1347690389l/7940589.jpg,608,2011
1118,The Measure of a Man,Amelia E. Barr,4.50,2,/book/show/10912688-the-measure-of-a-man,https://d2arxad8u2l0g7.cloudfront.net/books/1349003791l/10912688.jpg,240,1954
1119,The Denial of Death,Ernest Becker,4.20,"4,039",/book/show/2761.The_Denial_of_Death,https://d2arxad8u2l0g7.cloudfront.net/books/1388432490l/2761.jpg,336,1973
